REDE;NR_LATITUDE_LOJA;NR_LONGITUDE_LOJA;ID_LOJA_LEGADO;TIPO_LOJA;FL_ANALISE_MADURAS
RAIA;-23,001398399999999;-44,304622999999999;10001;CONCORRENTES;0
RAIA;-23,006436399999998;-44,317180099999987;10002;CONCORRENTES;0
RAIA;-22,874795200000001;-42,340365899999988;10003;CONCORRENTES;0
RAIA;-22,874051000000001;-42,338371599999988;10004;CONCORRENTES;0
RAIA;-22,545095;-44,170431000000001;10005;CONCORRENTES;0
RAIA;-22,545037099999998;-44,173215399999997;10006;CONCORRENTES;0
RAIA;-22,883216000000001;-42,018165000000003;10007;CONCORRENTES;0
RAIA;-22,9066902;-43,177342400000001;10008;CONCORRENTES;0
RAIA;-22,883577299999999;-42,025032799999998;10009;CONCORRENTES;0
RAIA;-22,878861199999999;-42,018551000000002;10010;CONCORRENTES;0
RAIA;-21,760520700000001;-41,309496799999998;10011;CONCORRENTES;0
RAIA;-21,751348;-41,335397899999997;10012;CONCORRENTES;0
RAIA;-21,762716300000001;-41,328646499999998;10013;CONCORRENTES;0
RAIA;-21,747492999999999;-41,322754699999997;10014;CONCORRENTES;0
RAIA;-21,768777100000001;-41,318797400000001;10015;CONCORRENTES;0
RAIA;-21,756217100000001;-41,323561400000003;10016;CONCORRENTES;0
RAIA;-21,763317000000001;-41,326504800000002;10017;CONCORRENTES;0
RAIA;-21,756537542149097;-41,333847818278144;10018;CONCORRENTES;0
RAIA;-22,643022999999999;-43,281717200000003;10019;CONCORRENTES;0
RAIA;-22,792684300000001;-43,300758000000002;10020;CONCORRENTES;0
RAIA;-22,7911155;-43,305376000000003;10021;CONCORRENTES;0
RAIA;-22,5247128;-42,981526500000001;10022;CONCORRENTES;0
RAIA;-22,738443199999999;-42,839357100000001;10023;CONCORRENTES;0
RAIA;-22,866682300000001;-43,763158900000001;10024;CONCORRENTES;0
RAIA;-21,204358899999999;-41,891557200000001;10025;CONCORRENTES;0
RAIA;-21,199080800000001;-41,897529200000001;10026;CONCORRENTES;0
RAIA;-22,385893899999999;-41,7808852;10027;CONCORRENTES;0
RAIA;-22,390237500000001;-41,786265700000001;10028;CONCORRENTES;0
RAIA;-22,379863199999999;-41,776476799999998;10029;CONCORRENTES;0
RAIA;-22,403483000000001;-41,797209000000002;10030;CONCORRENTES;0
RAIA;-22,656159299999999;-43,0379419;10031;CONCORRENTES;0
RAIA;-22,610285900000001;-43,177326999999998;10032;CONCORRENTES;0
RAIA;-22,913457600000001;-42,819756599999998;10033;CONCORRENTES;0
RAIA;-22,917972500000001;-42,817862800000007;10034;CONCORRENTES;0
RAIA;-22,964902299999999;-42,9790323;10035;CONCORRENTES;0
RAIA;-22,808964100000001;-43,4172814;10036;CONCORRENTES;0
RAIA;-22,8811474;-43,085704200000002;10037;CONCORRENTES;0
RAIA;-22,953464799999999;-43,0920597;10038;CONCORRENTES;0
RAIA;-22,941336499999998;-43,028479799999999;10039;CONCORRENTES;0
RAIA;-22,907059700000001;-43,103187800000001;10040;CONCORRENTES;0
