Data;Valor Venda Liquida;% Crescimento Ano Anterior;% Crescimento Mês Anterior
jan/21;2024055,06;;
fev/21;1948601,4;;-0.0372784621778028
mar/21;2242919,79;;0.151040838829327
abr/21;1997150,16;;-0.109575755270321
mai/21;2284229,75;;0.143744619583337
jun/21;2259234,71;;-0.0109424369418182
jul/21;2265624,3;;0.00282820991184196
ago/21;2284644,25;;0.00839501500756357
set/21;2212199,15;;-0.0317095757906289
out/21;2108229,13;;-0.0469984901675785
nov/21;2308579,38;;0.0950324834948086
dez/21;2190897,31;;-0.0509759686062861
jan/22;2094009,78;0.0345616684953223;-0.0442227618600709
fev/22;1876259,17;-0.0371252068278305;-0.103987389208851
mar/22;2586573,95;0.153217320357229;0.37858031094926
abr/22;2031878,91;0.0173891531521095;-0.214451645583147
mai/22;2350395,38;0.0289662762688385;0.156759572842852
jun/22;2334375,96;0.0332596032043078;-0.00681562776046662
jul/22;2267955,08;0.00102875838681671;-0.0284533773214493
ago/22;2455011,02;0.0745703712952248;0.0824777975761319
set/22;2367804,59;0.0703397069834331;-0.0355218079632084
out/22;2223869,57;0.0548519315829774;-0.0607883862578372
nov/22;2227312,44;-0.0352021423668782;0.00154814385090041
dez/22;2227117,48;0.016532116696971;-0.0000875315005199884
jan/23;2052759,24;-0.0196993062754461;-0.0782887483780157
fev/23;2085155,01;0.111336345927093;0.0157815730986552
mar/23;2277496,1;-0.119493142656911;0.0922430654208293
abr/23;1988184,74;-0.0215043178926444;-0.127030452434145
mai/23;2191634,07;-0.067546639748756;0.102329187980791
jun/23;2039977,97;-0.126114214267354;-0.0691977287978556
jul/23;2061465,57;-0.0910465607634522;0.0105332510036857
ago/23;2148668,41;-0.124782580405688;0.0423013807599029
set/23;2015295,66;-0.148875853813595;-0.0620722813158501
