REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
RAIA,-22.5128655,-41.930596,10070,CONCORRENTES,0,0,0,0
RAIA,-22.982269,-43.2166017,10071,CONCORRENTES,0,0,0,0
RAIA,-23.0203809,-43.4536006,10072,CONCORRENTES,0,0,0,0
RAIA,-22.9852488,-43.226888,10073,CONCORRENTES,0,0,0,0
RAIA,-22.986013,-43.2279458,10074,CONCORRENTES,0,0,0,0
RAIA,-22.9840392,-43.2191573,10075,CONCORRENTES,0,0,0,0
RAIA,-22.9834857,-43.2171536,10076,CONCORRENTES,0,0,0,0
RAIA,-22.9827933,-43.362822,10077,CONCORRENTES,0,0,0,0
RAIA,-22.8291251,-43.3194107,10078,CONCORRENTES,0,0,0,0
RAIA,-22.9080577,-43.564712,10079,CONCORRENTES,0,0,0,0
RAIA,-22.9151704,-43.616904,10080,CONCORRENTES,0,0,0,0
RAIA,-22.8765093,-43.4649606,10081,CONCORRENTES,0,0,0,0
RAIA,-23.0049275,-43.3216498,10082,CONCORRENTES,0,0,0,0
RAIA,-22.9999561,-43.4146843,10083,CONCORRENTES,0,0,0,0
RAIA,-23.0002932,-43.3473785,10084,CONCORRENTES,0,0,0,0
RAIA,-23.0086127,-43.4464003,10085,CONCORRENTES,0,0,0,0
RAIA,-23.0123737,-43.4566328,10086,CONCORRENTES,0,0,0,0
RAIA,-23.0138202,-43.4670256,10087,CONCORRENTES,0,0,0,0
RAIA,-23.0157635,-43.4698866,10088,CONCORRENTES,0,0,0,0
RAIA,-23.0014139,-43.3310503,10089,CONCORRENTES,0,0,0,0
RAIA,-23.0181912,-43.4794913,10090,CONCORRENTES,0,0,0,0
RAIA,-23.0000165,-43.3339402,10091,CONCORRENTES,0,0,0,0
RAIA,-23.0000714,-43.3346809,10092,CONCORRENTES,0,0,0,0
RAIA,-22.9976583,-43.3581268,10093,CONCORRENTES,0,0,0,0
RAIA,-22.9987766,-43.3603408,10094,CONCORRENTES,0,0,0,0
RAIA,-23.0001419,-43.3844931,10095,CONCORRENTES,0,0,0,0
RAIA,-22.8865063,-43.2841953,10096,CONCORRENTES,0,0,0,0
