rede;logradouro;bairro;latitude;longitude;data_primeira_venda;nm_Loja
VENANCIO;PRAÇA SAENS PENA, 55 A;TIJUCA;-22,9250522;-43,2321566;01/01/1900;V4 - VENANCIO
VENANCIO;AVENIDA OLEGARIO MACIEL, 188 ;BARRA DA TIJUCA;-23,0130808;-43,3050595;01/01/1900;V5 - VENANCIO
VENANCIO;RUA CONDE DE BONFIM, 208 LOJA A;TIJUCA;-22,9235277;-43,2285539;01/01/1900;V6 - VENANCIO
VENANCIO;RUA CONDE DE BONFIM, 340 LOJA A;TIJUCA;-22,9238377;-43,232671;01/01/1900;V7 - VENANCIO
VENANCIO;RUA DA QUITANDA, 89 ;CENTRO-RJ;-22,9027878;-43,1775019;01/01/1900;V8 - VENANCIO
VENANCIO;RUA GENERAL ROCA, 836 ;TIJUCA;-22,9241223;-43,2339415;01/01/1900;V9 - VENANCIO
VENANCIO;AVENIDA PROFESSOR MANUEL DE ABREU, 693 ;VILA ISABEL;-22,9164865;-43,2379999;01/01/1900;V10 - VENANCIO
VENANCIO;AVENIDA NOSSA SENHORA DE COPACABANA, 980 ;COPACABANA;-22,9765571;-43,190444;01/01/1900;V11 - VENANCIO
VENANCIO;AVENIDA BARTOLOMEU MITRE, 617 LOJA A;LEBLON;-22,9814992;-43,2240848;01/01/1900;V12 - VENANCIO
VENANCIO;RUA CONDE DE BONFIM, 40 LOJA A;TIJUCA;-22,9228633;-43,2230134;01/01/1900;V13 - VENANCIO
VENANCIO;ESTRADA DOS BANDEIRANTES, 316 ;TAQUARA;-22,925932;-43,3740905;01/01/1900;V14 - VENANCIO
VENANCIO;RUA DIAS DA CRUZ, 336 ;MEIER;-22,9041449;-43,2857509;01/01/1900;V16 - VENANCIO
VENANCIO;RUA VISCONDE DE PIRAJA, 276 ;IPANEMA;-22,9842209;-43,2031063;01/01/1900;V17 - VENANCIO
VENANCIO;AVENIDA DAS AMERICAS, 13400 ;RECREIO;-23,0123983;-43,4610942;01/01/1900;V18 - VENANCIO
VENANCIO;BOULEVARD VINTE E OITO DE SETEMBRO, 216 ;VILA ISABEL;-22,9151905;-43,2432315;01/01/1900;V19 - VENANCIO
VENANCIO;AVENIDA DAS AMERICAS, 500 BL 8 LJS 119 A 122;BARRA DA TIJUCA;-23,0045937;-43,31841;01/01/1900;V20 - VENANCIO
VENANCIO;RUA VISCONDE DE PIRAJA, 477 LOJA A;IPANEMA;-22,9842401;-43,2094386;01/01/1900;V21 - VENANCIO
VENANCIO;AVENIDA ERICO VERISSIMO, 55 LOJA;BARRA DA TIJUCA;-23,0126314;-43,3120918;01/01/1900;V22 - VENANCIO
VENANCIO;AVENIDA ALMIRANTE BARROSO, 63;CENTRO-RJ;-22,9074567;-43,1761969;01/01/1900;V23 - VENANCIO
VENANCIO;AVENIDA MARECHAL HENRIQUE LOTT, 333 ;BARRA DA TIJUCA;-23,0013038;-43,3494768;01/01/1900;V25 - VENANCIO
VENANCIO;ESTRADA JACAREPAGUA, 7823 LOJA A;FREGUESIA;-22,9411787;-43,3425539;01/01/1900;V26 - VENANCIO
VENANCIO;RUA CONDE DE BONFIM, 645 A;TIJUCA;-22,9318181;-43,2392504;01/01/1900;V27 - VENANCIO
VENANCIO;RUA VOLUNTARIOS DA PATRIA, 128 LOJA A E B;BOTAFOGO;-22,9517557;-43,1861356;01/01/1900;V28 - VENANCIO
VENANCIO;RUA DO CATETE, 267 ;CATETE;-22,9295548;-43,1773081;01/01/1900;V29 - VENANCIO
VENANCIO;RUA APIACAS, 372 ;TAQUARA;-22,9215031;-43,3728098;01/01/1900;V30 - VENANCIO
